Job Title,Company,Location,Expiry Date,Description,Link
Heavy Machinery Truck Sales Executive,ST-ONE Machinery,Harare,2025-04-30,"We are seeking a motivated and results-driven Heavy Machinery Sales Executive to join our dynamic sales team. The successful candidate will be responsible for promoting and selling Howo Trucks, a premier line of heavy-duty vehicles known for their reliability and performance. This position requires a deep understanding of the construction …",https://vacancymail.co.zw/jobs/heavy-machinery-truck-sales-executive-63300/
Sales and Business Development Officer,No Company,Harare,2025-05-07,"We are looking for a young at heart, genuine, quick thinker, self starter, dynamic and results-driven person who will be responsible for developing and implementing marketing strategies to drive brand growth, increase sales, and enhance our market position. The role involves assisting in digital marketing, content creation, market research, event …",https://vacancymail.co.zw/jobs/sales-and-business-development-officer-63299/
Personal Assistant to CEO,Southsea Investments Pvt Ltd,Harare,2025-04-24,An exciting opportunity has arisen for suitably qualified and self-driven individuals in a leading diversified conglomerate for the position of Personal Assistant (PA to CEO). The successful candidate will be responsible for driving business performance through providing administrative and secretarial support to the CEO.,https://vacancymail.co.zw/jobs/personal-assistant-to-ceo-63298/
Supply Chain Attachee (Mutare Branch),Nash Paints,Mutare,2025-04-14,"Nash Paints is looking for a Procurement, Purchasing and Supply Chains Management Attachee to join their organization.",https://vacancymail.co.zw/jobs/supply-chain-attachee-mutare-branch-63297/
SALES AND MARKETING  INTERN,Nash Paints,Mutare,2025-04-14,Nash Paints is looking for a Sales and Marketing Attachees to join their organization.,https://vacancymail.co.zw/jobs/sales-and-marketing-intern-63296/
Sales Representative - Gokwe,No Company,Gokwe,2025-04-18,"Deadline :14 April 2025 Job Description We are looking for self-driven and enthusiastic sales people to join our company in the motor spares industry, the individual must be based in Gokwe.",https://vacancymail.co.zw/jobs/sales-representative-gokwe-63295/
General Hand,No Company,Harare,2025-04-18,Location: Harare Job Description We are looking for a Cleaner to carry out cleaning of our facilities on fixed-term contract.,https://vacancymail.co.zw/jobs/general-hand-63294/
Business Development Executive,No Company,Harare,2025-04-18,BUSINESS DEVELOPMENT EXECUTIVE,https://vacancymail.co.zw/jobs/business-development-executive-63293/
Sales Champion -Solar  Project,Nash Furnishers,Harare,2025-04-21,"We are seeking a highly motivated and experienced Sales Champion to lead our solar project. The successful candidate will be responsible for driving sales growth, building relationships with key customers, and identifying new business opportunities in the solar industry",https://vacancymail.co.zw/jobs/sales-champion-solar-project-63292/
Finance Graduate Trainee: Cospharm,No Company,Harare,2025-04-18,FINANCE GRADUATE TRAINEE WE ARE SEEKING A DYNAMIC INDIVIDUAL TO JOIN OUR FINANCE DEPARTMENT BASED IN HARARE. A DAY IN THE LIFE OF A FINANCE GRADUATE TRAINEE WILL INCLUDE:,https://vacancymail.co.zw/jobs/finance-graduate-trainee-cospharm-63291/
