Job Title,Company,Location,Expiry Date,Description,Link
Aluminium Fabrication and Computer Aided Design Instructior.,Ixar Mobile ~~ 0,Harare,2025-04-19,"Training students in computer aided design and aluminum fabrication in order to be able to create products like windows, doors, doorframes, office partitions e.t.c",https://vacancymail.co.zw/jobs/aluminium-fabrication-and-computer-aided-design-instructior-63303/
Electronic Engineer/Technician,Ixar Mobile ~~ 0,Harare,2025-04-19,"Training students in electronics repairs covering gadgets like cellphones, computers, inverters e.tc",https://vacancymail.co.zw/jobs/electronic-engineertechnician-63302/
ASSISTANT LOANS OFFICER,No Company,Harare,2025-05-14,Energetic young people to be trained as loans officer,https://vacancymail.co.zw/jobs/assistant-loans-officer-63301/
Heavy Machinery Truck Sales Executive,ST-ONE Machinery,Harare,2025-04-30,"We are seeking a motivated and results-driven Heavy Machinery Sales Executive to join our dynamic sales team. The successful candidate will be responsible for promoting and selling Howo Trucks, a premier line of heavy-duty vehicles known for their reliability and performance. This position requires a deep understanding of the construction …",https://vacancymail.co.zw/jobs/heavy-machinery-truck-sales-executive-63300/
Sales and Business Development Officer,No Company,Harare,2025-05-07,"We are looking for a young at heart, genuine, quick thinker, self starter, dynamic and results-driven person who will be responsible for developing and implementing marketing strategies to drive brand growth, increase sales, and enhance our market position. The role involves assisting in digital marketing, content creation, market research, event …",https://vacancymail.co.zw/jobs/sales-and-business-development-officer-63299/
Personal Assistant to CEO,Southsea Investments Pvt Ltd,Harare,2025-04-24,An exciting opportunity has arisen for suitably qualified and self-driven individuals in a leading diversified conglomerate for the position of Personal Assistant (PA to CEO). The successful candidate will be responsible for driving business performance through providing administrative and secretarial support to the CEO.,https://vacancymail.co.zw/jobs/personal-assistant-to-ceo-63298/
Supply Chain Attachee (Mutare Branch),Nash Paints,Mutare,2025-04-14,"Nash Paints is looking for a Procurement, Purchasing and Supply Chains Management Attachee to join their organization.",https://vacancymail.co.zw/jobs/supply-chain-attachee-mutare-branch-63297/
SALES AND MARKETING  INTERN,Nash Paints,Mutare,2025-04-14,Nash Paints is looking for a Sales and Marketing Attachees to join their organization.,https://vacancymail.co.zw/jobs/sales-and-marketing-intern-63296/
Sales Representative - Gokwe,No Company,Gokwe,2025-04-18,"Deadline :14 April 2025 Job Description We are looking for self-driven and enthusiastic sales people to join our company in the motor spares industry, the individual must be based in Gokwe.",https://vacancymail.co.zw/jobs/sales-representative-gokwe-63295/
General Hand,No Company,Harare,2025-04-18,Location: Harare Job Description We are looking for a Cleaner to carry out cleaning of our facilities on fixed-term contract.,https://vacancymail.co.zw/jobs/general-hand-63294/
